                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2739,                 1.8202,                0.87864,                0.54857,                0.53663,                0.46178,                0.25012,                 1.0778,                0.83049,                0.83561,               0.070333,              0.0032963,              0.0032963
                      1,                 1.2373,                0.94583,                0.85913,                0.60421,                0.58546,                0.52965,                0.29771,                 1.0382,                0.84347,                 0.8335,               0.040005,              0.0063015,              0.0063015
                      2,                 1.3049,                0.95948,                0.87685,                0.69307,                0.61427,                0.66366,                 0.3909,                 1.0351,                 1.0072,                0.84197,               0.009347,              0.0089766,              0.0089766
                      3,                 1.3166,                0.95213,                0.87741,                0.71275,                0.67823,                0.68607,                0.40318,                0.97136,                0.71694,                 0.8358,               0.008515,               0.008515,               0.008515
                      4,                  1.233,                0.79987,                0.86926,                0.77945,                0.67208,                0.72548,                0.41741,                0.97282,                0.67077,                0.83184,               0.008515,               0.008515,               0.008515
                      5,                 1.1748,                0.73145,                0.86218,                 0.8221,                0.73255,                0.80536,                0.48306,                  0.929,                0.60752,                0.82956,                0.00802,                0.00802,                0.00802
                      6,                 1.0711,                0.65916,                0.85332,                0.84318,                0.68086,                0.76297,                0.48585,                0.87854,                0.57494,                 0.8134,               0.007525,               0.007525,               0.007525
                      7,                  1.013,                 0.6194,                0.84215,                0.86218,                0.73413,                0.81106,                0.52748,                0.80071,                0.55423,                 0.8231,                0.00703,                0.00703,                0.00703
                      8,                0.96451,                0.57515,                0.83986,                0.89231,                0.73917,                 0.8266,                0.54945,                0.75299,                0.50063,                 0.8025,               0.006535,               0.006535,               0.006535
                      9,                0.93351,                0.54483,                0.83428,                0.86221,                0.74187,                0.83512,                0.55549,                0.81252,                0.52577,                 0.8133,                0.00604,                0.00604,                0.00604
                     10,                0.84484,                0.52874,                0.82641,                0.90513,                0.75804,                0.87319,                0.62986,                0.67458,                0.47297,                0.80423,               0.005545,               0.005545,               0.005545
                     11,                 0.8038,                0.48602,                0.82235,                0.87321,                0.74874,                0.83717,                0.57026,                0.75362,                0.48966,                0.80769,                0.00505,                0.00505,                0.00505
                     12,                0.76653,                0.47202,                0.81538,                0.87905,                0.78121,                0.87257,                 0.6483,                0.61076,                0.43518,                0.79924,               0.004555,               0.004555,               0.004555
                     13,                0.71841,                0.45584,                 0.8138,                0.91286,                0.74968,                0.87097,                0.64163,                0.62184,                0.43496,                0.79481,                0.00406,                0.00406,                0.00406
                     14,                0.71364,                0.44283,                0.81147,                0.86716,                0.77703,                0.87098,                0.64846,                0.57447,                0.41449,                0.79623,               0.003565,               0.003565,               0.003565
                     15,                 0.6657,                0.42541,                0.80618,                0.87054,                0.80252,                0.88293,                0.65554,                0.58875,                0.40769,                0.79114,                0.00307,                0.00307,                0.00307
                     16,                0.65618,                0.41257,                0.80089,                0.84138,                0.80665,                0.88015,                0.64867,                0.60455,                0.40544,                0.79033,               0.002575,               0.002575,               0.002575
                     17,                0.64659,                0.40149,                0.80096,                0.89309,                0.80256,                0.89434,                0.68197,                 0.5215,                0.37454,                0.78698,                0.00208,                0.00208,                0.00208
                     18,                 0.6154,                0.38563,                0.79812,                0.90391,                 0.8053,                0.89726,                0.67927,                0.56067,                0.37226,                0.78757,               0.001585,               0.001585,               0.001585
                     19,                0.60185,                 0.3711,                0.79663,                 0.8866,                0.81126,                0.90269,                 0.6982,                0.51209,                0.34752,                0.78624,                0.00109,                0.00109,                0.00109
